cafe_name,cafe_name,cafe_address,cafe_phone,theme_num,cafe_time,cafe_hollyday,cafe_price,cafe_parking
1,몽상드애월,제주 제주시 애월읍 애월북서길 56-1,064-799-8900,"우울함, 사랑, 바다, 결혼",09:00 - 20:00,없음,"도피오: 5000, 아메리카노: 6000, 카푸치노: 5500",주차가능
2,닐모리동동,제주 제주시 서해안로 452,064-745-5008,"사랑, 오후, 신나는, 바다, 드라이브",10:00 - 21:00,없음,"한라산빙수: 12000, 닐모리의아침(브런치): 17000, 파스타: 18000",주차가능
3,리치망고본점,제주 제주시 애월읍 고내리 474-1,070-4243-5959,"빈티지, 신나는, 맑음, 바다, 드라이브","10:00 - 18:30(동절기 10월~3월), 10:00 - 20:00(하절기 4월~9월)",없음,"스페셜망고쉐이크:6500원, 망고라쉬:6000원, 올인원망고쉐이크:8500원",주차가능
4,앤트러사이트,제주 제주시 한림읍 동명리 1715,064-796-7991,"센치함, 스트레스, 디저트, 애견동반",10:00 - 19:00,,"에스프레소: 4000, 아메리카노: 5000, 카푸치노: 5500",미제공
5,애월더선셋,제주 제주시 애월읍 곽지리 1381,064-799-5943,"노을, 바다, 스트레스, 우울함","10:00 - 08:00 하절기, 10:00 - 07:00 동절기",없음,"생과일프렌치토스트: 변동, 아메리카노: 5000, 과일에이드: 변동",주차가능
6,델문도,제주 제주시 조천읍 함덕리 1008-1,064-702-0007,"바다, 디저트, 센치함",07:00 - 24:00,없음,"에스프레소: 5000, 아메리카노: 5500, 카페라떼: 6000",주차가능
7,봄날카페,제주 제주시 애월읍 애월리 2540,064-799-4999,"낭만적, 바다, 센치함, 애견동반",09:00 - 21:00,없음,아메리카노: 5000,주차가능
8,구좌상회,제주 제주시 구좌읍 월정리 415,010-6600-6648,"정원, 아담함, 디저트",10:30 - 18:30,화요일,당근케이크: 6000,주차가능
9,테라로사,제주 서귀포시 하효동 1306-1,미제공,"정원, 모던, 빈티지, 숲속","09:00 - 21:00
Last order 20:30",없음,"아메라카노 클래식 hot: 4500, 아메리카노 어센틱 hot: 5000, 카페라테 hot:5000",미제공
10,바다다,제주 서귀포시 대포동 2384,064-738-2882,"디저트, 스트레스, 센치함",?10:00 - 01:00,없음,"칵테일: 12000, 수제버거: 17000",주차가능
11,하하호호,제주 제주시 우도면 연평리 859,010-2899-1365,"바다, 스트레스, 7080",11:00 - 17:30,없음,"구좌마늘 흑돼지버거: 10000, 제주 딱새우 버거: 10000, 제주영귤에이드: 6000",주차가능
12,풍림다방,제주 제주시 구좌읍 송당리 1373-1,미제공,"아담함, 핸드립, 7080",10:30 - 18:00,"화요일, 수요일","브레붸: 7000, 더치: 6000, 더치라떼: 7000",주차가능
13,우유부단,제주 제주시 한림읍 금악리 142-2,064-796-2033,"목장, 디저트","10:00 - 17:00 동절기 10월-4월, 10:00 - 18:00 하절기 3월-9월",없음,"우유부단 아이스크림: 4500, 우유부단 시그니처 밀크티: 4500",주차가능
14,살롱 드 라방,제주 제주시 애월읍 하가리 1415,070-7797-3708,"시골, 아담함, 사랑",11:00 - 20:00,"토요일, 일요일","에스프레소: 4500, 아메리카노: 4500, 카페라떼: 5500",주차가능
15,친봉산장,제주 제주시 구좌읍 1389-4,010-5759-5456,"바다, 아늑한, 빈티지, 결혼",11:00 - 22:00,없음,"아이리쉬커피: 10000, 가가멜스튜: 18000, COLD (생)한라봉주스: 10000",주차가능
16,아라파파,제주 제주시 연동 1498-2,064-725-8204,"도시, 빵, 오후, 스트레스",08:00 - 22:00,없음,"아메리카노: 3500, 카페라떼: 4000, 카푸치노: 4000",미제공
17,유동커피,제주 서귀포시 서귀동 581-4,064-733-6662,"아담함, 휴식, 사랑, 결혼",08:00 - 22:30,없음,"아메리카노: 3000, 카페라떼: 3500, 카페모카: 3800",미제공
18,채점석베이커리,제주 서귀포시 강정동 172-3,064-739-0033,"빵, 휴식, 스트레스, 오후",08:00 - 22:00,화요일,"딸기타르트(조각): 8000, 레어 치즈케이크: 5500",미제공
19,오설록 티뮤지엄,제주 서귀포시 안덕면 서광리 1235-3,064-794-5312,"우울함, 휴식, 바람, 눈, 맑음",09:00 - 18:00,없음,"녹차 아이스크림: 5000, 녹차 롤 케이크 (pcs): 5500",주차가능
20,카페 공작소,제주 서귀포시 구좌읍 세화리 1477-4,070-4548-0752,"센치함, 바다, 가을비, 사랑",08:00 - 21:00,없음,"커피류: 4000~5500, 수제차: 5000, 제주당근케이크: 5000",주차가능
21,바보,제주 제주시 구좌읍 한동리 1339-6,064-783-4847,"바다, 휴식, 사랑, 시골",10:00 - 19:00,없음,"바보에이드: 7000, 대표당근케익: 6000~6500, 아메리카노: 4000~5000",미제공
22,서연의집,제주 서귀포시 남원읍 위미리 2975,064-764-7894,"센치함, 휴식, 사랑, 결혼, 숲속",09:00 - 21:00,없음,"음료: 3500~6500, 납뜩이머핀: 5500, 서연의 브라우니: 7000",주차가능
23,티나케이크,제주 서귀포시 서귀동 315-2,010-3323-6185,"휴식, 디저트, 맑음, 스트레스",12:00 - 22:00,없음,"CARROT: 5500, CREPE CAKE: 6000, NUTELLA BANANA CAKE: 6000",주차가능
24,블리케이크,제주 제주시 아라2동 3002-12,010-9221-0824,"휴식, 디저트, 아늑한",12:00~21:00,화요일,제주두부 치즈케이크: 6500,미제공
25,아일랜드조르바,제주 제주시 구좌읍 평대리 1958-7,010-4787-2901,"핸드립, 휴식, 독서, 스트레스",10:30 - 18:00,"화요일, 수요일","핸드드립커피: 5000, 핸드드립커피(아이스): 5500, 댕유자에이드:5500",주차가능
26,비브레이브,제주 서귀포시 서호동 1470,010-5751-9111,"아담함, 휴식, 가을비, 눈",12:00 - 20:00,없음,"에스프레소: 3000, 플랫화이트: 4000, 로쉐: 5500",미제공
27,도렐,제주 서귀포시 성산읍 고성리 297-1,064-766-3008,"모던, 휴식, cycling, 숲속",08:30 - 22:00,없음,"Nutty Cloud(대표): 6000, Caffe Espresso: 3500, Dorrell Mocha: 6000",주차가능
28,메종드 쁘띠푸르,제주 제주시 아라2동 3001-19,064-702-0919,"도시, 휴식, 디저트, 스트레스, 사랑",07:00 - 23:00,없음,"요거트 블루베리: 4500, 리얼 청포도 브리오슈: 5000, 자몽 카스타드: 4000",주차가능
29,카이로스,제주 제주시 애월읍 장전리 49-1,064-799-2299,"센치함, 휴식, 숲속, 모던, 바다",09:30 - 18:00,없음,아메리카노:5000,주차가능
30,월정리에서브런치,제주 제주시 구좌읍 월정리 551,064-782-2262,"바다, 센치함, 휴식, 맑음, 신나는",09:00 - 18:30(Last Order 17:40),없음,"수제에이드: 7000, 불고기치즈왕창버거: 9800, 제주돔베고기피자: 19000",주차가능
31,위더스트래블,제주 제주시 아라1동 6113-16,064-722-0823,"휴식, 모던, 숲속, 아늑함","10:00 - 22:00, 10:00 - 16:00 브런치타임",없음,아메리카노(대표):3700,주차가능
32,더클리프,제주 서귀포시 색달동 2950-4,064-738-8866,"모던, 일몰, 센치함","평일 10:00~01:00, 주말 10:00~02:00 공휴일포함",없음,"수제 돈까스: 15000, 수제 피자: 15000, 음료 및 커피: 변동",주차가능
33,르에스까르고,제주 제주시 노형동 12291-24,064-748-0095,"빵, 휴식, 신나는, 기념품, 도시",11:00 - 19:00,일요일,루바브딸기잼: 8900,미제공
34,아뜰리에제주명월,제주 서귀포시 안덕면 상청리 1273-1,미제공,"센치함, 휴식, 사랑, 기념품, 시골",11:00 - 18:00,없음,"아메리카노:5000, 비엔나커피: 7000, 자몽에이드: 7500",미제공
35,카페조천리,제주 제주시 조천읍 조천리 3256,064-792-0775,"센치함, 모던, 휴식, 기념품, 숲속",미제공,,"아메리카노 (HOT): 4000, 카라멜 카페라떼 (HOT): 5000, 바닐라 카페라떼 (ICE): 5500
",미제공
36,오드랑베이커리,제주 제주시 조천읍 함덕리 956,064-784-5404,"빵, 휴식, 맑음, 기념품",07:00 - 22:00,없음,"마농바게트:6500, 카페모카:4500, 먹물치아바타:5500",미제공
37,로제뜨,제주 제주시 삼도1동 533-18,064-723-6991,"도시, 아늑함, 디저트, 꽃, 유럽풍",11:00 - 23:00,없음,"딸기빙수:12000, 허니브레드:5000, 망고스무디:4500",미제공
38,스타벅스,제주 제주시 조천읍 함덕리 1004-27,064-783-3537,"휴식, 바다, 독서, 바다, 회의",8:00 - 23:00,없음,"카페 모카:5100(TALL), 카페 아메리카노:4100(TALL), 그린 티 라떼: 5900(TALL)",주차가
39,제이아일랜드,제주 서귀포시 성산읍 신산리 421-1,064-782-7077,"바다, 휴식, 센치함, diy",09:30 - 19:30,없음,"한라봉에이드: 8000, 전통우유팥빙수: 11000, 프란치스카너: 6500",주차가능
40,망고레이,제주 제주시 애월읍 하귀리 157-6,070-4139-2441,"모던, 휴식, diy, 드라이브",10:00 - 19:00,없음,"카라바오 생망고 쉐이크:8500, 스노우 망고플롯:13000, 애플망고 쉐이크:9500",주차가능
41,바람벽에 흰당나귀,제주 제주시 구좌읍 동복리 1645-1,064-782-8611,"휴식, 센치함, 빈티지, 독서",10:00 - 21:30,없음,"에스프레소:4500, 아메리카노:4500, 카페라떼:5000",주차가능
